time,X,Y
2018/1/1 00:00,#GbMbMbRb#Me#Re#FbRb#Me#Re#Rb#Fe#Mb#Mb#GeMeMeRe,#FbGbMbMbRb#MeRe#RbRb#Me#FeReRe#Mb#Mb#Me#GeMe
2018/1/1 01:00,#GbMbMbRb#Me#Re#FbRb#Me#Fe#Re#Rb#Mb#Mb#GeMeMeRe,#GbMbMbRb#MeRe#FbRbRb#Me#FeReRe#Mb#Mb#Me#GeMe
2018/1/1 02:00,#GbMbMbRb#Me#Re#FbRb#Me#Re#Rb#Fe#Mb#Mb#GeMeMeRe,#FbGbMbMbRb#MeRe#RbRb#Me#FeReRe#Mb#Mb#Me#GeMe
2018/1/1 03:00,#GbMbMbRb#Me#Re#EbFbRb#Me#Ee#Re#Rb#Fe#Mb#Mb#GeMeMeRe,#FbGbMbMbRb#MeRe#EbRbRb#FeMe#EeReRe#Mb#Mb#Me#GeMe
2018/1/1 04:00,#GbMbMbRb#Me#Re#EbFbRb#Me#EeFe#Re#Rb#Mb#Mb#GeMeMeRe,#FbGbMbMbRb#MeRe#EbRbRb#FeMe#EeReRe#Mb#Mb#Me#GeMe
2018/1/1 05:00,#GbMbMbRb#Me#Re#EbFbRb#Me#EeFe#Re#Rb#Mb#Mb#GeMeMeRe,#FbGbMbMbRb#MeRe#EbRbRb#FeMe#EeReRe#Mb#Mb#Me#GeMe
2018/1/1 06:00,#GbMbMbRb#Me#Re#EbFbRb#Me#Ee#Re#Rb#Fe#Mb#Mb#GeMeMeRe,#FbGbMbMbRb#MeRe#EbRbRb#FeMe#EeReRe#Mb#Mb#Me#GeMe
2018/1/1 07:00,#GbMbMbRb#Me#Re#EbFbRb#Me#Ee#Re#Rb#Fe#Mb#Mb#GeMeMeRe,#FbGbMbMbRb#MeRe#EbRbRb#FeMe#EeReRe#Mb#Mb#Me#GeMe
2018/1/1 08:00,#GbMbMbRb#Me#Re#FbRb#Me#Fe#Re#Rb#Mb#Mb#GeMeMeRe,#FbGbMbMbRb#MeRe#RbRb#Me#FeReRe#Mb#Mb#Me#GeMe
2018/1/1 09:00,#FbGbMbMbRb#Me#Fe#Re#EbFbRb#Me#EeFe#Re#Rb#Mb#Mb#GeMeMeRe,#FbGbMbMbRb#MeRe#EbRbRb#FeMe#EeReRe#Mb#Mb#Fb#Fe#Me#GeMe
2018/1/1 10:00,#EbFbGbMbMbRb#Me#EeGe#Re#DbEbEbRb#EeMe#Gb#De#Re#Rb#EeGe#Mb#Mb#FeMeMeRe,#EbFbGbMbMbRb#MeRe#DbRbRb#GeMe#Eb#DeEeReRe#Mb#Ee#GbMb#Eb#Ge#Ee#Me#FeMe
2018/1/1 11:00,#CbDbEbMbMbRb#Me#CeEe#Re#CbRb#Me#DbEb#CeDe#Re#Rb#Ee#Mb#Mb#DeMeMeRe,#DbEbMbMbRb#EeMeRe#CbRbRb#Me#CeReRe#DbMb#EbMb#De#Cb#Ee#Ce#Me#DeMe
2018/1/1 12:00,#BbCbDbMbMbRb#Me#Be#Re#Rb#Me#Db#DeRe#Rb#Mb#Mb#CeDeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#DbMb#De#Mb#De#Me#Bb#BeCeMe
2018/1/1 13:00,#DbEbMbMbRb#Me#Re#Rb#Me#Ee#Re#Rb#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#Eb#ReRe#Mb#Mb#Ee#Me#DeMe
2018/1/1 14:00,#CbDbMbMbRb#Me#Re#CbRb#Me#Ce#Re#Rb#Mb#Mb#CeDeMeMeRe,#DbMbMbRb#MeRe#CbRbRb#Me#CeReRe#Mb#CbMb#De#Me#CeMe
2018/1/1 15:00,#CbDbMbMbRb#Me#CeRe#Rb#Me#Re#EbRb#Ee#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Mb#Cb#CeMe#DeMe
2018/1/1 16:00,#DbMbMbRb#Me#Eb#Re#DbRb#DeMe#Ee#Re#EbRb#Mb#Mb#DeEeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#ReRe#DbEbMb#De#Mb#EeEe#Me#DeMe
2018/1/1 17:00,#DbEbFbMbMbRb#Me#EbFbGb#DeEe#Eb#EeFeFeGeRe#DbEbFbRb#EeFeMe#Re#Rb#De#Mb#Mb#EeMeMeRe,#DbEbEbMbMbRb#MeRe#FbRbRb#EeFeMe#EbFbGb#DeEeReRe#DbFbMb#FeGe#Eb#EeFe#Mb#Me#DeEeMe
2018/1/1 18:00,#DbEbGbMbMbRb#Me#Hb#Eb#DeHeRe#FbRb#Me#Db#EeGe#Re#EbRb#De#Mb#Mb#EeEeFeMeMeRe,#DbEbEbMbMbRb#MeRe#GbRbRb#DeMe#FbHb#EeReRe#DbMb#He#Mb#EeGe#Eb#Fe#Me#DeEeMe
2018/1/1 19:00,#DbEbMbMbRb#Me#FbFb#DeRe#GbRb#FeMe#DbFb#FeFeRe#FbRb#FeGe#De#Mb#Mb#EeMeMeRe,#DbEbMbMbRb#DeMeRe#FbRbRb#FeMe#FbGb#FeReRe#Mb#FbFb#Fe#Mb#Ge#Fe#Db#Me#DeEeMe
2018/1/1 20:00,#DbEbMbMbRb#Me#De#Re#Rb#Me#DbFb#Re#EbGbRb#DeEeEeGe#Eb#Ee#EbFbMb#Fe#Mb#EeFeMeMeRe,#DbEbEbEbFbMbMbRb#DeEeFeMeRe#FbRbRb#Me#ReRe#GbMb#Ge#Eb#Ee#Mb#Ee#Me#Db#DeEeFeMe
2018/1/1 21:00,#DbEbMbMbRb#Me#De#Re#DbRb#Me#Fb#De#Re#Rb#Mb#Mb#EeFeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#DeReRe#Mb#FbMb#Fe#Me#Db#DeEeMe
2018/1/1 22:00,#EbMbMbRb#Me#Re#DbFbRb#Me#Re#Rb#DeFe#FbMb#Mb#EeFeMeMeRe,#DbEbMbMbRb#MeRe#FbRbRb#Me#DeReRe#Mb#Fe#Mb#Fb#Me#EeFeMe
2018/1/1 23:00,#EbMbMbRb#Me#Re#DbRb#Me#Re#Rb#De#Mb#Mb#EeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#DeReRe#Mb#Mb#Me#EeMe
2018/1/2 00:00,#EbMbMbRb#Me#Re#DbRb#Me#DeRe#Rb#FbMb#Mb#EeFeMeMeRe,#DbEbMbMbRb#MeRe#FbRbRb#Me#DeReRe#Mb#Fe#Mb#Me#EeMe
2018/1/2 01:00,#EbMbMbRb#Me#Db#Re#Rb#Me#Re#Rb#De#FbMb#Mb#EeFeMeMeRe,#DbEbMbMbRb#MeRe#FbRbRb#Me#DeReRe#Mb#Fe#Mb#Me#EeMe
2018/1/2 02:00,#EbMbMbRb#Me#Db#Re#Rb#Me#DeRe#Rb#FbMb#Mb#EeFeMeMeRe,#DbEbMbMbRb#MeRe#FbRbRb#Me#DeReRe#Mb#Fe#Mb#Me#EeMe
2018/1/2 03:00,#EbMbMbRb#Me#Db#Re#Rb#Me#Re#Rb#De#Mb#Mb#EeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#DeReRe#Mb#Mb#Me#EeMe
2018/1/2 04:00,#DbEbMbMbRb#Me#Db#DeRe#Rb#Me#Re#Rb#De#Mb#Mb#EeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#DeReRe#Mb#Mb#Db#Me#DeEeMe
2018/1/2 05:00,#DbEbMbMbRb#Me#Db#DeRe#CbRb#Me#Ce#Re#DbRb#Mb#De#Mb#DeEeMeMeRe,#DbEbMbMbRb#MeRe#CbRbRb#Me#CeDeReRe#Mb#Mb#DbDb#Me#DeDeEeMe
2018/1/2 06:00,#DbEbMbMbRb#Me#Db#Re#EbRb#Me#De#Db#Re#Rb#Ee#Mb#De#Mb#DeEeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#DeReRe#Mb#Db#Mb#DbEb#Ee#Me#DeDeEeMe
2018/1/2 07:00,#CbDbEbMbMbRb#Me#Ce#EeRe#Rb#Me#EbEb#Ee#Re#Rb#Mb#Mb#DeEeMeMeRe,#DbEbEbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#Mb#Ee#CbEb#Ee#Ee#CeMe#DeMe
2018/1/2 08:00,#CbDbEbGbMbMbRb#Me#Fb#CeFeGe#DeRe#DbRb#Me#Db#DeRe#Rb#Mb#Mb#DeEeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#Gb#DeReRe#FbMb#Fe#Mb#Ge#CbDb#Db#Ce#Me#DeDeEeMe
2018/1/2 09:00,#CbDbEbMbMbRb#Me#Ce#Re#Rb#Me#Eb#EeRe#Rb#Db#Mb#Mb#DeDeEeMeMeRe,#DbDbEbMbMbRb#MeRe#EbRbRb#DeMe#ReRe#Mb#Ee#Mb#Ee#Cb#CeMe#DeMe
2018/1/2 10:00,#CbDbMbMbRb#Me#Cb#Re#Rb#Me#CeRe#EbRb#Ee#CbMb#Mb#CeCeDeMeMeRe,#CbDbMbMbRb#MeRe#CbRbRb#Me#CeReRe#Mb#Ce#EbMb#Ee#Cb#De#Me#CeMe
2018/1/2 11:00,#BbCbMbMbRb#Me#BeRe#BbRb#Me#DbDb#Be#DbEb#DeEeRe#GbRb#DeDeGe#DbEb#DeEe#Mb#Mb#CeMeMeRe,#CbDbMbMbRb#DeMeRe#BbRbRb#Me#DbEb#BeDeReRe#EbGbMb#EeEeGe#DbDb#De#Mb#Bb#De#Me#BeCeMe
2018/1/2 12:00,#BbMbMbRb#Me#Re#Rb#Me#Cb#Re#Rb#Ce#Mb#Mb#BeMeMeRe,#BbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#CbMb#Ce#Me#BeMe
2018/1/2 13:00,#BbCbMbMbRb#Me#CeRe#Rb#Me#Re#CbRb#Ce#Mb#Mb#BeMeMeRe,#BbMbMbRb#MeRe#RbRb#Me#Cb#ReRe#Mb#Ce#CbMb#Ce#Me#BeMe
2018/1/2 14:00,#DbEbEbMbMbRb#Me#Ee#Re#DbRb#Me#Re#Rb#Ee#Eb#DeEe#EbMb#Ee#Mb#DeMeMeRe,#DbDbEbEbMbMbRb#EeMeRe#EbRbRb#DeEeMe#ReRe#Mb#Mb#Ee#Me#Eb#DeEeMe
2018/1/2 15:00,#DbEbEbMbMbRb#Me#Ee#Re#EbRb#Me#Re#Rb#Ee#Mb#Mb#DeEeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Mb#EeEe#Eb#Me#DeEeMe
2018/1/2 16:00,#DbEbFbMbMbRb#EeMe#EbFbGb#Ee#Eb#FeFeGeRe#Rb#Me#Ee#Re#EbEbRb#Ee#Mb#Mb#DeEeMeMeRe,#DbEbMbMbRb#MeRe#EbEbFbRbRb#EeFeMe#FbGb#ReRe#Mb#Ge#EbEb#EeEeEeFe#Mb#Ee#Me#DeMe
2018/1/2 17:00,#DbDbEbEbGbMbMbRb#EeMe#Fb#De#Fb#FeGeRe#Rb#Me#Db#Fe#Re#Rb#De#Mb#Mb#DeEeMeMeRe,#DbDbEbMbMbRb#DeDeMeRe#EbFbRbRb#EeMe#Gb#ReRe#Mb#Fe#Fb#FeGe#DbMb#Ee#Me#DeMe
2018/1/2 18:00,#DbDbEbMbMbRb#Me#De#Re#FbRb#Me#Db#Fe#Re#FbRb#De#De#Mb#Mb#EeFeMeMeRe,#DbDbEbMbMbRb#DeMeRe#FbRbRb#DeMe#FeReRe#Mb#DbFbMb#FeMe#DeEeMe
2018/1/2 19:00,#DbDbEbFbMbMbRb#Me#Eb#DeDeEeFeRe#EbFbRb#EeMe#Db#Fe#Re#Rb#De#Mb#Mb#EeMeMeRe,#DbDbEbEbMbMbRb#DeEeMeRe#EbFbRbRb#DeEeMe#Fb#FeReRe#Mb#Fe#Mb#Db#DeMe#EeMe
2018/1/2 20:00,#DbDbEbMbMbRb#Me#De#Re#Rb#Me#Re#Rb#De#Mb#Mb#EeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#DeMe#ReRe#Mb#Mb#Db#Me#DeEeMe
2018/1/2 21:00,#DbDbEbMbMbRb#Me#De#DeRe#DbRb#Me#Re#Rb#Fb#De#Mb#Mb#EeFeMeMeRe,#DbDbEbMbMbRb#MeRe#RbRb#DeMe#ReRe#Mb#De#FbMb#Fe#Me#Db#DeEeMe
